frequency_hz,power_db
100274414.06,-89.8003
100275390.62,-94.1961
100276367.19,-91.9537
100277343.75,-90.1584
100278320.31,-92.9231
100279296.88,-88.8911
100280273.44,-88.8144
100281250.00,-87.5503
100282226.56,-92.3049
100283203.12,-90.5506
100284179.69,-88.4631
100285156.25,-91.8427
100286132.81,-90.0123
100287109.38,-91.4599
100288085.94,-90.1556
100289062.50,-92.5768
100290039.06,-90.0817
100291015.62,-87.0497
100291992.19,-87.8260
100292968.75,-91.3530
100293945.31,-90.3759
100294921.88,-92.2390
100295898.44,-88.1359
100296875.00,-89.6271
100297851.56,-87.9780
100298828.12,-90.1178
100299804.69,-91.4269
100300781.25,-88.6273
100301757.81,-92.5909
100302734.38,-90.5183
100303710.94,-87.9000
100304687.50,-91.4051
100305664.06,-95.6368
100306640.62,-92.2186
100307617.19,-86.4763
100308593.75,-90.8736
100309570.31,-92.5758
100310546.88,-91.1652
100311523.44,-87.4244
100312500.00,-91.1076
100313476.56,-92.3843
100314453.12,-86.5892
100315429.69,-89.9874
100316406.25,-88.5873
100317382.81,-93.1752
100318359.38,-87.3100
100319335.94,-89.7519
100320312.50,-86.9704
100321289.06,-87.7294
100322265.62,-90.0816
100323242.19,-89.7363
100324218.75,-90.0028
100325195.31,-84.2369
100326171.88,-88.2838
100327148.44,-87.2706
100328125.00,-88.4757
100329101.56,-93.7483
100330078.12,-92.5396
100331054.69,-86.9765
100332031.25,-89.5759
100333007.81,-91.2512
100333984.38,-88.8261
100334960.94,-89.5730
100335937.50,-85.5092
100336914.06,-91.1615
100337890.62,-91.1904
100338867.19,-89.3715
100339843.75,-87.7601
100340820.31,-89.7926
100341796.88,-88.5241
100342773.44,-90.1580
100343750.00,-90.1421
100344726.56,-90.3398
100345703.12,-90.7483
100346679.69,-88.1640
100347656.25,-90.8439
100348632.81,-87.8347
100349609.38,-93.1490
100350585.94,-94.3211
100351562.50,-84.5827
100352539.06,-92.3923
100353515.62,-88.1975
100354492.19,-89.6426
100355468.75,-88.0795
100356445.31,-85.2506
100357421.88,-89.5439
100358398.44,-88.3528
100359375.00,-90.6650
100360351.56,-88.7312
100361328.12,-92.6162
100362304.69,-87.0963
100363281.25,-89.8094
100364257.81,-91.9159
100365234.38,-90.2393
100366210.94,-90.1698
100367187.50,-87.3172
100368164.06,-92.9742
100369140.62,-91.6912
100370117.19,-88.5684
100371093.75,-90.9826
100372070.31,-89.9892
100373046.88,-88.9144
100374023.44,-91.7698
100375000.00,-89.2618
100375976.56,-93.1940
100376953.12,-92.8072
100377929.69,-89.7028
100378906.25,-91.6864
100379882.81,-91.7654
100380859.38,-91.8890
100381835.94,-89.8860
100382812.50,-90.5412
100383789.06,-89.9557
100384765.62,-88.8032
100385742.19,-86.2449
100386718.75,-90.6449
100387695.31,-87.5128
100388671.88,-90.5810
100389648.44,-91.9958
100390625.00,-89.2412
100391601.56,-90.6248
100392578.12,-86.6563
100393554.69,-91.8559
100394531.25,-89.2588
100395507.81,-88.4034
100396484.38,-88.8607
100397460.94,-86.1417
100398437.50,-91.9777
100399414.06,-89.7632
100400390.62,-89.5749
100401367.19,-87.0051
100402343.75,-92.7970
100403320.31,-93.1064
100404296.88,-90.5988
100405273.44,-89.1878
100406250.00,-90.9901
100407226.56,-91.1518
100408203.12,-90.5121
100409179.69,-89.0969
100410156.25,-88.0883
100411132.81,-90.8488
100412109.38,-92.1047
100413085.94,-88.9066
100414062.50,-91.4328
100415039.06,-86.2571
100416015.62,-90.1647
100416992.19,-88.8107
100417968.75,-91.8188
100418945.31,-89.0629
100419921.88,-90.9304
100420898.44,-91.0647
100421875.00,-89.4948
100422851.56,-90.0865
100423828.12,-88.4511
100424804.69,-90.0257
100425781.25,-88.4318
100426757.81,-89.7753
100427734.38,-90.9966
100428710.94,-87.8813
100429687.50,-90.2929
100430664.06,-55.7201
100431640.62,-56.1615
100432617.19,-53.7870
100433593.75,-57.3753
100434570.31,-58.3571
100435546.88,-55.8214
100436523.44,-56.2305
100437500.00,-55.9872
100438476.56,-54.2816
100439453.12,-51.3681
100440429.69,-54.5016
100441406.25,-55.8438
100442382.81,-57.4975
100443359.38,-56.5618
100444335.94,-57.4297
100445312.50,-58.1191
100446289.06,-55.8947
100447265.62,-53.4880
100448242.19,-55.0059
100449218.75,-54.9851
100450195.31,-55.8491
100451171.88,-55.0981
100452148.44,-55.6510
100453125.00,-57.5966
100454101.56,-54.0296
100455078.12,-55.7928
100456054.69,-55.5147
100457031.25,-57.9823
100458007.81,-52.4364
100458984.38,-52.4911
100459960.94,-57.0534
100460937.50,-57.5074
100461914.06,-57.1249
100462890.62,-53.8289
100463867.19,-52.6240
100464843.75,-56.2665
100465820.31,-57.8641
100466796.88,-57.3065
100467773.44,-54.2946
100468750.00,-55.0242
100469726.56,-56.1590
100470703.12,-57.0317
100471679.69,-57.8559
100472656.25,-54.9062
100473632.81,-54.3717
100474609.38,-53.5065
100475585.94,-56.6437
100476562.50,-53.6735
100477539.06,-56.6841
100478515.62,-55.5153
100479492.19,-51.1332
100480468.75,-52.1414
100481445.31,-55.7222
100482421.88,-50.7723
100483398.44,-56.8664
100484375.00,-55.9082
100485351.56,-58.7797
100486328.12,-55.9295
100487304.69,-54.1253
100488281.25,-52.4911
100489257.81,-51.9727
100490234.38,-54.3216
100491210.94,-52.3658
100492187.50,-58.2954
100493164.06,-53.3330
100494140.62,-55.8268
100495117.19,-54.8598
100496093.75,-55.6095
100497070.31,-55.8680
100498046.88,-54.0510
100499023.44,-56.1589
100500000.00,-54.7615
100500976.56,-54.6934
100501953.12,-54.5033
100502929.69,-52.1384
100503906.25,-51.4502
100504882.81,-58.1137
100505859.38,-52.9480
100506835.94,-56.5106
100507812.50,-55.0992
100508789.06,-52.7030
100509765.62,-58.7138
100510742.19,-53.7363
100511718.75,-55.5650
100512695.31,-55.6443
100513671.88,-55.0388
100514648.44,-56.5445
100515625.00,-57.4127
100516601.56,-55.9112
100517578.12,-56.7017
100518554.69,-53.3243
100519531.25,-56.6699
100520507.81,-53.7410
100521484.38,-57.7416
100522460.94,-54.0827
100523437.50,-51.4348
100524414.06,-52.0552
100525390.62,-55.1010
100526367.19,-51.0555
100527343.75,-61.1329
100528320.31,-55.8093
100529296.88,-58.6434
100530273.44,-58.0805
100531250.00,-58.1748
100532226.56,-57.6782
100533203.12,-57.0473
100534179.69,-55.5209
100535156.25,-52.7612
100536132.81,-53.9092
100537109.38,-55.7968
100538085.94,-56.5925
100539062.50,-55.9080
100540039.06,-49.9579
100541015.62,-58.2985
100541992.19,-51.9822
100542968.75,-54.3290
100543945.31,-55.0198
100544921.88,-48.7882
100545898.44,-54.1499
100546875.00,-56.3900
100547851.56,-54.3030
100548828.12,-52.8656
100549804.69,-53.3993
100550781.25,-54.2652
100551757.81,-55.7329
100552734.38,-57.1197
100553710.94,-54.4817
100554687.50,-53.4939
100555664.06,-56.1423
100556640.62,-57.4715
100557617.19,-57.7496
100558593.75,-58.0723
100559570.31,-55.7721
100560546.88,-57.7823
100561523.44,-53.0544
100562500.00,-58.6309
100563476.56,-56.8935
100564453.12,-53.2168
100565429.69,-54.3468
100566406.25,-54.7756
100567382.81,-55.9040
100568359.38,-55.6050
100569335.94,-54.4357
100570312.50,-53.3470
100571289.06,-54.8748
100572265.62,-54.5496
100573242.19,-57.6901
100574218.75,-53.6615
100575195.31,-51.1696
100576171.88,-56.1964
100577148.44,-54.3221
100578125.00,-56.4293
100579101.56,-53.9763
100580078.12,-54.0986
100581054.69,-58.4427
100582031.25,-55.6245
100583007.81,-55.4469
100583984.38,-56.2042
100584960.94,-54.1038
100585937.50,-56.1158
100586914.06,-57.5989
100587890.62,-51.0781
100588867.19,-54.4298
100589843.75,-51.8149
100590820.31,-54.0762
100591796.88,-54.6404
100592773.44,-52.9990
100593750.00,-53.6950
100594726.56,-55.7145
100595703.12,-54.7783
100596679.69,-55.9548
100597656.25,-53.2524
100598632.81,-57.1303
100599609.38,-55.1818
100600585.94,-54.2645
100601562.50,-55.0518
100602539.06,-54.4788
100603515.62,-57.7050
100604492.19,-59.0797
100605468.75,-51.9649
100606445.31,-56.0251
100607421.88,-55.5541
100608398.44,-54.5774
100609375.00,-53.7773
100610351.56,-88.3119
100611328.12,-88.2864
100612304.69,-91.0662
100613281.25,-90.2953
100614257.81,-90.8179
100615234.38,-93.8144
100616210.94,-90.5183
100617187.50,-90.4629
100618164.06,-92.4366
100619140.62,-93.7082
100620117.19,-90.5426
100621093.75,-91.1618
100622070.31,-90.7312
100623046.88,-87.2955
100624023.44,-90.4769
100625000.00,-90.5938
100625976.56,-92.9645
100626953.12,-90.6271
100627929.69,-88.2060
100628906.25,-88.8344
100629882.81,-91.5073
100630859.38,-88.3571
100631835.94,-85.9593
100632812.50,-92.7113
100633789.06,-90.4499
100634765.62,-93.7821
100635742.19,-86.8494
100636718.75,-93.3672
100637695.31,-89.4489
100638671.88,-89.5235
100639648.44,-87.5077
100640625.00,-90.1606
100641601.56,-90.7159
100642578.12,-93.1641
100643554.69,-92.1704
100644531.25,-90.3416
100645507.81,-88.1369
100646484.38,-93.6119
100647460.94,-88.2272
100648437.50,-91.0472
100649414.06,-93.2662
100650390.62,-89.2590
100651367.19,-89.1461
100652343.75,-88.1133
100653320.31,-88.5168
100654296.88,-91.2615
100655273.44,-89.0961
100656250.00,-90.0711
100657226.56,-89.6543
100658203.12,-90.7286
100659179.69,-91.9074
100660156.25,-90.3004
100661132.81,-89.1522
100662109.38,-92.4049
100663085.94,-90.0465
100664062.50,-91.7789
100665039.06,-92.6071
100666015.62,-90.8323
100666992.19,-89.1146
100667968.75,-88.3240
100668945.31,-91.6823
100669921.88,-91.2950
100670898.44,-92.0062
100671875.00,-89.2687
100672851.56,-89.9067
100673828.12,-89.1262
100674804.69,-87.2699
100675781.25,-90.6002
100676757.81,-90.7921
100677734.38,-87.9906
100678710.94,-90.2489
100679687.50,-91.1263
100680664.06,-88.2930
100681640.62,-88.2296
100682617.19,-92.8113
100683593.75,-92.0916
100684570.31,-89.6649
100685546.88,-87.8670
100686523.44,-88.5234
100687500.00,-91.6743
100688476.56,-90.0125
100689453.12,-92.0889
100690429.69,-87.2633
100691406.25,-85.3487
100692382.81,-91.6689
100693359.38,-90.4220
100694335.94,-92.1977
100695312.50,-88.8320
100696289.06,-90.6987
100697265.62,-89.4382
100698242.19,-91.0974
100699218.75,-89.5447
100700195.31,-93.7512
100701171.88,-89.0698
100702148.44,-93.6535
100703125.00,-88.6627
100704101.56,-87.6173
100705078.12,-89.1800
100706054.69,-88.4630
100707031.25,-86.7614
100708007.81,-89.7528
100708984.38,-91.6994
100709960.94,-92.0016
100710937.50,-88.5819
100711914.06,-94.3671
100712890.62,-90.6854
100713867.19,-91.5834
100714843.75,-90.3438
100715820.31,-90.5569
100716796.88,-92.2152
100717773.44,-87.8502
100718750.00,-87.9995
100719726.56,-93.3858
100720703.12,-89.5754
100721679.69,-89.8891
100722656.25,-94.1551
100723632.81,-90.5074
100724609.38,-89.3677
100725585.94,-91.3534
100726562.50,-90.0866
100727539.06,-88.4553
100728515.62,-90.6798
100729492.19,-90.5946
100730468.75,-90.4994
100731445.31,-91.7664
100732421.88,-90.9846
100733398.44,-88.7655
100734375.00,-90.1304
100735351.56,-92.5990
100736328.12,-90.4971
100737304.69,-89.9118
100738281.25,-89.6373
100739257.81,-89.6726
100740234.38,-90.9147
100741210.94,-91.6600
100742187.50,-89.4705
100743164.06,-90.4498
100744140.62,-88.5423
100745117.19,-91.7776
100746093.75,-90.3089
100747070.31,-87.4923
100748046.88,-92.6806
100749023.44,-92.2702
100750000.00,-89.3150
100750976.56,-85.8919
100751953.12,-90.9689
100752929.69,-90.7562
100753906.25,-89.9618
100754882.81,-92.8791
100755859.38,-88.7958
100756835.94,-89.5391
100757812.50,-90.8298
100758789.06,-93.2702
100759765.62,-87.4971
100760742.19,-89.0305
100761718.75,-88.6790
100762695.31,-88.4856
100763671.88,-90.6610
100764648.44,-89.9659
100765625.00,-90.6118
100766601.56,-85.6777
100767578.12,-91.6297
100768554.69,-88.6285
100769531.25,-92.3251
100770507.81,-88.5906
100771484.38,-93.4069
100772460.94,-91.7165
100773437.50,-89.0959
100774414.06,-89.7707
100775390.62,-89.5404
100776367.19,-91.2108
100777343.75,-90.5942
100778320.31,-89.3491
100779296.88,-88.1062
100780273.44,-90.1752
100781250.00,-90.0538
100782226.56,-91.3143
100783203.12,-93.3455
100784179.69,-90.3252
100785156.25,-90.3342
100786132.81,-89.2969
100787109.38,-91.9798
100788085.94,-91.6632
100789062.50,-92.7548
100790039.06,-92.4038
100791015.62,-91.1253
100791992.19,-92.2643
100792968.75,-93.3945
100793945.31,-92.1392
100794921.88,-93.6140
100795898.44,-64.1733
100796875.00,-65.4789
100797851.56,-63.2798
100798828.12,-66.3044
100799804.69,-61.6183
100800781.25,-67.7000
100801757.81,-58.8455
100802734.38,-60.9876
100803710.94,-62.5881
100804687.50,-61.4382
100805664.06,-63.5113
100806640.62,-65.8805
100807617.19,-60.2898
100808593.75,-60.8387
100809570.31,-59.4734
100810546.88,-62.5258
100811523.44,-63.0881
100812500.00,-61.9691
100813476.56,-62.3899
100814453.12,-62.1748
100815429.69,-61.7090
100816406.25,-60.8308
100817382.81,-63.0802
100818359.38,-60.9111
100819335.94,-66.6401
100820312.50,-63.3961
100821289.06,-58.7391
100822265.62,-62.4447
100823242.19,-65.1526
100824218.75,-62.8355
100825195.31,-66.8596
100826171.88,-64.6893
100827148.44,-58.0809
100828125.00,-61.3093
100829101.56,-62.6980
100830078.12,-64.3731
100831054.69,-62.0407
100832031.25,-61.0492
100833007.81,-63.1990
100833984.38,-61.4947
100834960.94,-63.8260
100835937.50,-60.5410
100836914.06,-64.4719
100837890.62,-65.2545
100838867.19,-66.0115
100839843.75,-63.6551
100840820.31,-61.8232
100841796.88,-60.9106
100842773.44,-62.7775
100843750.00,-63.8897
100844726.56,-63.4644
100845703.12,-64.0060
100846679.69,-62.7872
100847656.25,-63.0797
100848632.81,-59.6775
100849609.38,-58.7594
100850585.94,-65.3350
100851562.50,-61.0883
100852539.06,-61.3904
100853515.62,-65.0256
100854492.19,-62.5505
100855468.75,-65.4917
100856445.31,-65.8841
100857421.88,-64.0846
100858398.44,-63.8732
100859375.00,-63.2808
100860351.56,-65.3415
100861328.12,-62.3609
100862304.69,-62.5417
100863281.25,-62.5766
100864257.81,-63.8001
100865234.38,-61.4272
100866210.94,-63.4816
100867187.50,-62.8502
100868164.06,-63.7402
100869140.62,-69.3873
100870117.19,-60.1857
100871093.75,-65.0969
100872070.31,-62.3862
100873046.88,-61.9267
100874023.44,-64.3531
100875000.00,-64.2034
100875976.56,-62.0728
100876953.12,-64.9052
100877929.69,-57.1163
100878906.25,-62.8425
100879882.81,-66.4867
100880859.38,-61.7751
100881835.94,-61.2601
100882812.50,-60.7803
100883789.06,-63.2487
100884765.62,-66.3696
100885742.19,-89.3295
100886718.75,-88.7144
100887695.31,-91.6289
100888671.88,-89.7711
100889648.44,-91.6887
100890625.00,-86.9586
100891601.56,-87.7334
100892578.12,-89.5050
100893554.69,-90.0567
100894531.25,-91.1989
100895507.81,-87.7868
100896484.38,-90.2337
100897460.94,-89.5729
100898437.50,-88.2241
100899414.06,-90.4943
100900390.62,-90.2911
100901367.19,-91.9549
100902343.75,-89.5137
100903320.31,-92.2789
100904296.88,-88.0712
100905273.44,-91.4602
100906250.00,-87.6710
100907226.56,-88.5893
100908203.12,-90.7374
100909179.69,-89.8641
100910156.25,-91.1956
100911132.81,-89.3723
100912109.38,-90.5224
100913085.94,-88.3469
100914062.50,-85.8918
100915039.06,-94.8508
100916015.62,-87.5928
100916992.19,-87.8925
100917968.75,-92.4068
100918945.31,-91.0679
100919921.88,-89.7535
100920898.44,-89.3973
100921875.00,-88.8582
100922851.56,-88.3944
100923828.12,-90.5574
100924804.69,-91.3801
100925781.25,-91.4108
100926757.81,-90.8623
100927734.38,-88.8364
100928710.94,-89.0003
100929687.50,-90.2177
100930664.06,-91.2157
100931640.62,-89.1887
100932617.19,-90.1012
100933593.75,-87.0283
100934570.31,-93.0711
100935546.88,-89.3142
100936523.44,-87.4688
100937500.00,-92.2529
100938476.56,-90.7105
100939453.12,-92.3703
100940429.69,-95.1989
100941406.25,-92.9097
100942382.81,-87.7694
100943359.38,-89.0702
100944335.94,-91.6630
100945312.50,-91.3143
100946289.06,-89.7262
100947265.62,-91.6243
100948242.19,-90.9199
100949218.75,-92.4008
100950195.31,-90.8070
100951171.88,-90.9055
100952148.44,-87.0893
100953125.00,-88.6867
100954101.56,-92.0608
100955078.12,-89.8813
100956054.69,-90.9415
100957031.25,-88.9087
100958007.81,-88.9519
100958984.38,-89.4396
100959960.94,-89.7813
100960937.50,-89.4740
100961914.06,-91.9404
100962890.62,-90.3709
100963867.19,-89.9258
100964843.75,-88.7637
100965820.31,-89.2124
100966796.88,-90.6661
100967773.44,-91.9647
100968750.00,-86.3432
100969726.56,-85.9514
100970703.12,-91.0497
100971679.69,-88.6004
100972656.25,-84.7145
100973632.81,-89.8699
100974609.38,-90.5664
100975585.94,-88.7796
100976562.50,-90.4927
100977539.06,-91.0587
100978515.62,-90.6187
100979492.19,-93.1682
100980468.75,-91.7312
100981445.31,-89.7204
100982421.88,-87.5465
100983398.44,-88.0524
100984375.00,-92.5363
100985351.56,-87.7908
100986328.12,-89.7419
100987304.69,-90.1491
100988281.25,-90.3280
100989257.81,-90.5211
100990234.38,-85.9414
100991210.94,-88.9809
100992187.50,-92.8234
100993164.06,-93.4229
100994140.62,-89.8427
100995117.19,-90.0660
100996093.75,-90.3346
100997070.31,-90.3948
100998046.88,-90.8703
100999023.44,-91.1663
